id,start_times,end_times,transcript
Module_24_Reliability_42,198120,203389,"As it is important to obtain consistency, similar response to the same question in similar "
Module_24_Reliability_43,203389,210849,circumstances and one has to know how systematic is the form of data that is based on asking 
Module_24_Reliability_44,210849,215049,people questions about things that they know little about. 
Module_24_Reliability_45,215049,221739,"So, another typical feature which is very important with regard to reliability is repeatability. "
Module_24_Reliability_46,221739,228189,"That is, if anyone wants to carry out the same research as has been carried out by another "
Module_24_Reliability_47,228189,233239,"researcher, would he get the same results as the result of the researcher who carried "
Module_24_Reliability_48,233239,234760,out the research first? 
Module_24_Reliability_49,234760,240459,"If this happens, then the research of the first researcher would have repeatedly of "
Module_24_Reliability_50,240459,242930,the data collected method. 
Module_24_Reliability_51,242930,249619,"So, there are four general estimators that researcher may encounter. "
Module_24_Reliability_52,249619,256479,"One, observer reliability, that is the degree to which different observer gives consistent answer. "
Module_24_Reliability_53,256479,262930,"Second, test-retest reliability, the consistency of a measure evaluated over time. "
Module_24_Reliability_54,262930,269020,"Third, parallel-form reliability, the the reliability of two tests constructed the same "
Module_24_Reliability_55,269020,270980,way from the same content. 
Module_24_Reliability_56,270980,278389,"And finally, internal consistency reliability, the consistency of results across items, often "
Module_24_Reliability_57,278389,284310,"measured with Cronbach’s Alpha, a statistical tool used as an estimate of the reliability "
Module_24_Reliability_58,284310,286060,of a psychometric test. 
Module_24_Reliability_59,286060,291650,"So we will talk about the types of reliability, Kirk and Miller have discussed three types "
Module_24_Reliability_60,291650,296879,of reliability which will help a researcher to understand how reliable is his data. 
Module_24_Reliability_61,296879,303240,"So they are as follows- One, quixotic reliability, this refers to the circumstances in which "
Module_24_Reliability_62,303240,309330,a single method of observation yields the same measurement over and over again. 
Module_24_Reliability_63,309330,317289,"In other words, when a researcher ask questions, respondents respondents tend to give politically correct answers. "
Module_24_Reliability_64,317289,323610,"For example, if the subjects are asked questions like if they believe in giving equal rights "
Module_24_Reliability_65,323610,330449,"to their daughters in property, most of the respondents give response in affirmation but "
Module_24_Reliability_66,330449,332580,the reality is something else. 
Module_24_Reliability_67,332580,339539,This is called that the findings have only quixotic reliability because people tend to 
Module_24_Reliability_68,339539,342700,give those answers that they think are correct. 
Module_24_Reliability_69,342700,349560,"To get a correct view, one can ask the respondent if he would mind sharing his property with "
Module_24_Reliability_70,349560,356370,his sister or do you mind if your wife give away her rights in her parent’s property? 
Module_24_Reliability_71,356370,360259,Such questions can give a better and a clear picture. 
Module_24_Reliability_72,360259,364460,The second type of reliability is diachronic reliability. 
Module_24_Reliability_73,364460,368919,This refers to the stability of an observation over time. 
Module_24_Reliability_74,368919,375599,"Some examples include the test-retest paradigm of experimental psychology and survey research, "
Module_24_Reliability_75,375599,382530,in which survey are conducted afresh after a gap of time to see if the results are the same. 
Module_24_Reliability_76,382530,386469,"And then, the third part is called a synchronic reliability. "
Module_24_Reliability_77,386469,393240,"This refers to the similarities of observation withi… within the same time period, which "
Module_24_Reliability_78,393240,398599,can be evaluated by comparison of the same data by different methods. 
Module_24_Reliability_79,398599,406340,"Unlike quixotic reliability, synchronic reliability involves observation that are consistent in nature. "
Module_24_Reliability_80,406340,414050,"In the words of Kirk and Miller, synchronic reliability is often more useful if it is absent. "
Module_24_Reliability_81,414050,420300,"In other words, if different methods or approaches to a problem throw up different results, it "
Module_24_Reliability_82,420300,427590,"may caution the researcher to consider the other aspects of research, which he she has ignored earlier. "
Module_24_Reliability_83,427590,433340,A researcher should try to work towards increasing the reliability of data. 
Module_24_Reliability_84,433340,438509,He can achieve this by documenting his field notes so that they can be compared with the 
Module_24_Reliability_85,438509,441490,other field researcher and other colleagues. 
Module_24_Reliability_86,441490,448469,"Berman recommends extensive, explicit and perceptive field notes, self-analytical repo… "
Module_24_Reliability_87,448469,453979,"reporting of research procedure, and research context, documentation of the ethnographer’s "
Module_24_Reliability_88,453979,456800,theories of society and his biases. 
Module_24_Reliability_89,456800,464139,"To make your field notes accessible to others, certain guidelines must be followed that enables "
Module_24_Reliability_90,464139,470690,others to separate the concept of the observed from those of the observer. 
Module_24_Reliability_91,470690,476290,"So, the other method of achieving reliability can be by training the researcher before he "
Module_24_Reliability_92,476290,482469,or she enters the field and by checking his interview notes regularly and guiding him 
Module_24_Reliability_93,482469,484120,or her accordingly. 
Module_24_Reliability_94,484120,489430,This should be done immediately after the first interview so that correct measures are 
Module_24_Reliability_95,489430,490840,taken at the earliest. 
Module_24_Reliability_96,490840,498050,"Thus, we can say that reliability is achieved by presenting the data in such a way that "
Module_24_Reliability_97,498050,505850,"the results speak not only about the interpretation given by the researcher, but also the voice of the respondents. "
Module_24_Reliability_98,505850,513219,"Apart from the results, the procedure adopted by the researcher should also be taken into account. "
Module_24_Reliability_99,513219,515899,"Now, we have discussed about reliability. "
Module_24_Reliability_100,515899,521120,We come to the next topic which is very close to reliability is called validity. 
Module_24_Reliability_101,521120,523110,What is this Validity? 
Module_24_Reliability_102,523110,528910,Validity refers to the accuracy of the data generated by the research instrument like 
Module_24_Reliability_103,528910,534250,an interview schedule or questionnaire or some other means of research. 
Module_24_Reliability_104,534250,540130,Validity answers questions like whether the method adopted by the researcher affects the 
Module_24_Reliability_105,540130,545750,results of the factors that should have been considered but were ignored. 
Module_24_Reliability_106,545750,548540,These answers refer to the internal validity of a researcher. 
Module_24_Reliability_107,548540,557850,"Validity of a research is also about answering the question, how valid is one’s conception of the situation? "
Module_24_Reliability_108,557850,560760,How generalised are one’s results? 
Module_24_Reliability_109,560760,567490,"So, answer of these que… answer to these questions refer to the external validity of "
Module_24_Reliability_110,567490,574920,"your research, which can be explained as the generalised from the, from a sample to a population. "
Module_24_Reliability_111,574920,580110,Establishing external validity for an instrument then follows directly from sampling. 
Module_24_Reliability_112,580110,583311,There is also a face validity and the content validity. 
Module_24_Reliability_113,583311,588920,Face validity means stati… statistical measure of validity. 
Module_24_Reliability_114,588920,596750,"For example, type one error will will require rejection of the hypothesis when it is true "
Module_24_Reliability_115,596750,602029,and type two error will require acceptance of the hypothesis when it is false. 
Module_24_Reliability_116,602029,605019,This the concept of hypothesis is linked here. 
Module_24_Reliability_117,605019,609259,"So, if you have to understand the concept of hypothesis, you can go back to my module "
Module_24_Reliability_118,609259,612110,on hypothesis and discuss that validity part there. 
Module_24_Reliability_119,612110,620250,"So, content validity on the other hand refers to the appropriateness of the content of an instrument. "
Module_24_Reliability_120,620250,625910,"In other words, do the measure that is questions or observation logs, etcetera, accurately "
Module_24_Reliability_121,625910,628600,assess what you want to know? 
Module_24_Reliability_122,628600,631910,This is particularly important with the achievement test. 
Module_24_Reliability_123,631910,639120,Consider that a test developer wants to maximise the validity of a unit test for seventh grade mathematics. 
Module_24_Reliability_124,639120,644180,This would involve taking representa… representative questions from each of the sections of the 
Module_24_Reliability_125,644180,648519,unit and evaluating them against the desired outcomes. 
Module_24_Reliability_126,648519,652850,"So, that will be called as content validity. "
Module_24_Reliability_127,652850,658550,"It is easy to achieve validity in research as one has to keep in mind the adequate sampling, "
Module_24_Reliability_128,658550,665230,precision of observation and the subtle changes in environment and people are observed carefully. 
Module_24_Reliability_129,665230,671630,One can say that the concept of validity refers to the next extent to which the data provide 
Module_24_Reliability_130,671630,674730,a true measurement of social reality. 
Module_24_Reliability_131,674730,682779,Let us take an example from IGNOU material on research methodology of shortage of power supply. 
Module_24_Reliability_132,682779,687410,You may be quite sure of the statistics about power shortage week by week. 
Module_24_Reliability_133,687410,692940,You also have to be sure how valid or accurate a picture of power shortage in the whole town 
Module_24_Reliability_134,692940,697670,"or the state is, your static… statistics presence. "
Module_24_Reliability_135,697670,703600,"If you were to compare your figure with those collected by government agencies, its figure "
Module_24_Reliability_136,703600,708870,"may be re… reliable, but the government’s definition of power shortage may not be the "
Module_24_Reliability_137,708870,712199,same as is used in your research. 
Module_24_Reliability_138,712199,719209,"So and if this is the case, then the two set of statistics are not valid for the purpose "
Module_24_Reliability_139,719209,726760,"of comparison because the comparison is not between two things alike and therefore, research is not valid. "
Module_24_Reliability_140,726760,729670,How do we achieve validity in our research? 
Module_24_Reliability_141,729670,733850,So this is the question that we have to answer. 
Module_24_Reliability_142,733850,738970,"To bring about validity in the research process, Wolcott has suggested some guidelines. "
Module_24_Reliability_143,738970,741800,"They are, one should refrain from talking. "
Module_24_Reliability_144,741800,746230,"When you are in the field, listen as much as possible. "
Module_24_Reliability_145,746230,753019,"Secondly, produce field notes that are exact as as much as possible. "
Module_24_Reliability_146,753019,758390,Begin to write early so that you will not forget the little details that separate good 
Module_24_Reliability_147,758390,761230,research from the ordinary research. 
Module_24_Reliability_148,761230,767420,Write in such a way that your research can see for themselves the points you are trying to bring out. 
Module_24_Reliability_149,767420,774110,"In other words, provide enough data to enable readers to draw out their own inferences and "
Module_24_Reliability_150,774110,776440,follow the ones you are making. 
Module_24_Reliability_151,776440,780779,Your report should be as complete as possible. 
Module_24_Reliability_152,780779,785920,See feedback on your findings and presentation from your colleagues. 
Module_24_Reliability_153,785920,791329,Your presentation should be characterised by a balance between the various aspects you 
Module_24_Reliability_154,791329,797980,have studied rather than leaning too heavily on one or the other aspect. 
Module_24_Reliability_155,797980,801530,Your presentation should display accuracy in writing. 
Module_24_Reliability_156,801530,807220,"To check the validity of your research, one of the method is field research. "
Module_24_Reliability_157,807220,812850,"The very nature of field work is its flexibility and openness, which enables one to study the "
Module_24_Reliability_158,812850,815550,data in a variety of ways. 
Module_24_Reliability_159,815550,821339,"As in field situation, routine contact with people on day-to-day basis over an extended "
Module_24_Reliability_160,821339,827160,period of time will help the researcher to test the emerging hypothesis. 
Module_24_Reliability_161,827160,833889,This method is very sensitive to discrepancies between meaning presumed by investigations 
Module_24_Reliability_162,833889,837250,and those understood by the target population. 
Module_24_Reliability_163,837250,842220,So one has to clearly define his or her concept. 
Module_24_Reliability_164,842220,847139,Defining the concept is also very important for the researcher as the field is better 
Module_24_Reliability_165,847139,849389,known to respondent than to the researcher. 
Module_24_Reliability_166,849389,854100,"In a controlled experiment, the situation is other way around. "
Module_24_Reliability_167,854100,857590,But here the researcher has to work according to the respondent’s will. 
Module_24_Reliability_168,857590,866269,If the researcher is sincere and devoted to his field work and is receptive of the inputs 
Module_24_Reliability_169,866269,872510,"given by the respondents, then his or her research has greater chances of being valid. "
Module_24_Reliability_170,872510,879839,The validity can also be checked by taking respondents into the confidence and try try 
Module_24_Reliability_171,879839,883569,to involve them into research by the method of discussion. 
Module_24_Reliability_172,883569,891910,The researcher can share his or her data with the respondents and while discussing can ensure 
Module_24_Reliability_173,891910,899010,that there is no discrepancy in what the respondent said and what he or she has written. 
Module_24_Reliability_174,899010,905779,"This method of checking also has its own drawback, as sometimes respondents may deny of what "
Module_24_Reliability_175,905779,911260,the researcher has written as they might feel that it shows them in bad light. 
Module_24_Reliability_176,911260,918140,Here the role of the researcher becomes important as he or she has to differ… differentiate 
Module_24_Reliability_177,918140,923959,between the real responses and the released responses. 
Module_24_Reliability_178,923959,929389,"Lincoln and Guba in their book, Naturalistic Inquiry suggests that for checking the validity "
Module_24_Reliability_179,929389,935870,"of any data, a researcher should adopt few techniques while collecting the data and interacting "
Module_24_Reliability_180,935870,937129,with the respondent. 
Module_24_Reliability_181,937129,943120,"The researcher should spend more time in the field, which will help the researcher to understand "
Module_24_Reliability_182,943120,945770,his field and respondents better. 
Module_24_Reliability_183,945770,951079,Spending more time in the field will also help in the accuracy of the data as the researcher 
Module_24_Reliability_184,951079,957000,will be having a clear picture of the field and it is less likely that the respondent 
Module_24_Reliability_185,957000,960139,is able to deceive the researcher. 
Module_24_Reliability_186,960139,966269,"Now, when we have discussed the concept of reliability and validity, let us also understand "
Module_24_Reliability_187,966269,970139,try to understand the relationship these two concepts have. 
Module_24_Reliability_188,970139,976699,So reliability and validity are two different concepts that may or may not be related to one another. 
Module_24_Reliability_189,976699,980529,"Mostly, if data are valid, they must be reliable. "
Module_24_Reliability_190,980529,986230,"If people rec… receive very different scores on a test every time they take it, the test "
Module_24_Reliability_191,986230,988939,is not likely to be to predict anything. 
Module_24_Reliability_192,988939,993709,"However, a test can be considered reliable but not valid. "
Module_24_Reliability_193,993709,1001079,"For example, AILET or CLAT score can be used as a prediction of success in college. "
Module_24_Reliability_194,1001079,1008879,"It may be considered a reliable test, but only a moderately valid indicator of success. "
Module_24_Reliability_195,1008879,1015500,"Taking the same example of CLAT or AILET scores can, we can say that validity is more important "
Module_24_Reliability_196,1015500,1022810,"than reliability, as in college admission, AILET or CLAT score may be a reliable test, "
Module_24_Reliability_197,1022810,1030860,"but not necessarily valid measure of other qualitative qualities college seeks, for example, "
Module_24_Reliability_198,1030860,1035100,leadership participation in various academic and cultural activities. 
Module_24_Reliability_199,1035100,1040130,"So, we can say this is reliable but not a valid measurement. "
Module_24_Reliability_200,1040130,1046890,The combination of the these aspects alongside the AILET or CLAT score is more valid measure 
Module_24_Reliability_201,1046890,1054970,"of the applicant’s potential of, for graduation, later social involvement, and professional development. "
Module_24_Reliability_202,1054970,1060220,Last and the most important is the data should be both reliable as well as valid. 
Module_24_Reliability_203,1060220,1066920,Proponent of AILET and CLAT argue that it is both a reliable as well as valid test as 
Module_24_Reliability_204,1066920,1074540,"it measures student’s knowledge and aptitude, mathematics, language and reasoning. "
Module_24_Reliability_205,1074540,1080060,"So to understand the relationship between reliability and validity, we can conceptualise "
Module_24_Reliability_206,1080060,1089410,"them under four heads, that is Reliability and Validity, when the data is consistent "
Module_24_Reliability_207,1089410,1094860,"and also measures what it meant to measure, that is, a stable construct. "
Module_24_Reliability_208,1094860,1098830,"In that case, a data will be reliable as well as valid. "
Module_24_Reliability_209,1098830,1103190,"In the second condition, when the data is reliable that is, there is a consistency in "
Module_24_Reliability_210,1103190,1105440,the data but not valid. 
Module_24_Reliability_211,1105440,1112720,"That means, it measures something consistently but it does not measure what it is meant to measure. "
Module_24_Reliability_212,1112720,1120190,"Third, the data is unreliable, that it is not consistent, but and not valid. "
Module_24_Reliability_213,1120190,1126280,That is it is inconsistent measures which does not measure what it meant to measure. 
Module_24_Reliability_214,1126280,1134460,"Finally, data is unreliable that is it is not consistent and valid that it measures "
Module_24_Reliability_215,1134460,1136220,what it means to measure. 
Module_24_Reliability_216,1136220,1143660,"So, here unreliable data but it is measuring what it means to measure, that is, an unstable construct. "
Module_24_Reliability_217,1143660,1150080,A very important aspect with reliability and validity is how to measure the two. 
Module_24_Reliability_218,1150080,1156260,"So, while measuring reliability there are few methods that we have to keep in mind. "
Module_24_Reliability_219,1156260,1160290,One of them is stability or test-retest method. 
Module_24_Reliability_220,1160290,1166010,"That means, it gives the same assessment twice separated by days, weeks or months. "
Module_24_Reliability_221,1166010,1172720,Reliability is stated as the correlation between scores at time one and time two. 
Module_24_Reliability_222,1172720,1175680,And this is how we can measure the reliability. 
Module_24_Reliability_223,1175680,1180250,The other way of measuring reliability is alternate form. 
Module_24_Reliability_224,1180250,1185010,It creates two forms of the same tests that vary the items slightly. 
Module_24_Reliability_225,1185010,1192400,Reliability is stated as correlation between score of test one and test two. 
Module_24_Reliability_226,1192400,1196760,The last way of measuring reliability is the internal consistency method. 
Module_24_Reliability_227,1196760,1200180,This is also known as Alpha method. 
Module_24_Reliability_228,1200180,1206000,It compares one half of the test to the other half or use methods such as Kuder-Richardson 
Module_24_Reliability_229,1206000,1211240,"Formula twenty, that is KR twenty or Cronbach’s Alpha. "
Module_24_Reliability_230,1211240,1215950,The value for reliability coefficient range from zero to one. 
Module_24_Reliability_231,1215950,1221150,A coefficient of zero means no reliability and one means perfect reliability. 
Module_24_Reliability_232,1221150,1227060,"Since all tests have some error, reliability coefficient never reaches one. "
Module_24_Reliability_233,1227060,1231870,"Generally, if the reliability of a standardised test is above point zero eight, it is said "
Module_24_Reliability_234,1231870,1234910,to have very good reliability. 
Module_24_Reliability_235,1234910,1240090,"If it is below point five zero, it would not be considered a reliable test. "
Module_24_Reliability_236,1240090,1246600,"As we have measured reliability, there is a method of measuring validity as well. "
Module_24_Reliability_237,1246600,1255190,Validity refers to the accuracy of an assessment whether or not it measures what it is supposed to measure. 
Module_24_Reliability_238,1255190,1259880,"Even if a test is reliable, it may not provide a valid measure. "
Module_24_Reliability_239,1259880,1266080,Let us imagine a bathroom scale that consistently tells you that you weigh one thirty pounds. 
Module_24_Reliability_240,1266080,1271740,"Reliability of the scale is very good, but it is not accurate because you actually weigh "
Module_24_Reliability_241,1271740,1277210,one forty five pound and you reset the scale in a weak moment. 
Module_24_Reliability_242,1277210,1283120,"Some teachers, parents and school districts make decision about students based on assessments "
Module_24_Reliability_243,1283120,1286200,"such as grades, promotion and graduation. "
Module_24_Reliability_244,1286200,1292750,"The validity inferred from the assessment is essential, even more crucial than the reliability. "
Module_24_Reliability_245,1292750,1297430,"Also, if a test is valid, it is almost always reliable. "
Module_24_Reliability_246,1297430,1303160,There are three ways in which validity can be measured in order to have confidence that 
Module_24_Reliability_247,1303160,1309000,a test is valid and therefore the inference we make based on the test scores are valid. 
Module_24_Reliability_248,1309000,1312340,All three kinds of validity evidence should be considered. 
Module_24_Reliability_249,1312340,1314970,To measure a content validity. 
Module_24_Reliability_250,1314970,1316420,What is the content validity? 
Module_24_Reliability_251,1316420,1322940,The extent to which the content of the test matches the instructional objective. 
Module_24_Reliability_252,1322940,1328340,Example for this would be a semester or a quarter exam that only includes content converted 
Module_24_Reliability_253,1328340,1334300,during the last six weeks is not a valid measure of the course’s overall objective. 
Module_24_Reliability_254,1334300,1337900,It has a very low content validity. 
Module_24_Reliability_255,1337900,1342510," Criteria validity, it means the extent to which scores on the test are in "
Module_24_Reliability_256,1342510,1349610,"agreement with concurrent validity or predict that is, predictive validity and external criteria . "
Module_24_Reliability_257,1349610,1354720,If the end of the year math test in fourth grade correlate highly with the statewide 
Module_24_Reliability_258,1354720,1358480,"math test, they would have high concurrent validity. "
Module_24_Reliability_259,1358480,1364910,Construct validity is the extent to which an assessment correspond to other variables 
Module_24_Reliability_260,1364910,1368670,as predicted by some rational or theory. 
Module_24_Reliability_261,1368670,1374720,If you can correctly hypothesize and ESOL students will perform differently on a reading 
Module_24_Reliability_262,1374720,1381990,"test than English speaking student, because of theory, the assessment may have construct validity. "
Module_24_Reliability_263,1381990,1387660,This is how you can measure the validity and reliability of any test. 
Module_24_Reliability_264,1387660,1391770,Reliability and Validity are two important concepts for any research. 
Module_24_Reliability_265,1391770,1396740,And it is important for the researcher to understand the relationship as well as the 
Module_24_Reliability_266,1396740,1398710,distinction between the two. 
Module_24_Reliability_267,1398710,1405720,It helps a researcher to have a better understanding of his or her results and make his or her 
Module_24_Reliability_268,1405720,1407130,research more authentic. 
Module_24_Reliability_269,1407130,1410210,Reliability and validity are independent of each other. 
Module_24_Reliability_270,1410210,1416730,"A measurement may be valid, but not reliable or reliable, but not valid. "
Module_24_Reliability_271,1416730,1422410,"So, both qualitative as quantitative research requires reliability and validity. "
Module_24_Reliability_272,1422410,1431050,"Thus a researcher should keep in mind that for a research data to be use and value, it "
Module_24_Reliability_273,1431050,1434800,should be both reliable as well as valid. 
Module_24_Reliability_274,1434800,1440290,So this gives us a concluding remark on reliability and validity. 
Module_24_Reliability_275,1440290,1445690,Hope this discussion is useful for you in conducting your research. 
Module_24_Reliability_276,1445690,1449770,"And in case you have any queries, you can always email me or you have questions you "
Module_24_Reliability_277,1449770,1450770,can always post it to me. 
Module_24_Reliability_278,1450770,1451160,Thank you so much. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_0,32160,35270,"Dear students, I am Doctor Manish Singh. "
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_1,35270,40120,"I am from Doctor Ram Manohar Lohiya National Law University, Lucknow. "
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_2,40120,51200,I’ll be discussing a module on qualitative and doctrinal methods and research. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_3,51200,56500,The probable learning outcomes of this module are to make you understand the contemporary 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_4,56500,61280,debate surrounding the qualitative and doctrinal methods of research. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_5,61280,68380,To make you understand the meaning and concept of qualitative research. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_6,68380,73670,To let you understand the meaning and concept of doctrinal method of research. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_7,73670,79250,To encapsulate the methods of conducting doctrinal and qualitative research. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_8,79250,87580,To discuss the broad aims and objectives of qualitative and doctrinal methods of research. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_9,87580,93580,It abso… it also helps you to comprehend the advantages and limitations of qualitative 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_10,93580,96910,and doctrinal method of research. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_11,96910,102800,To also help you understand the distinguishing factors between qualitative and doctrinal 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_12,102800,106250,method of research. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_13,106250,116940,"In this module, we shall discuss the following areas, contemporary discussion on qualitative "
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_14,116940,120910,and doctrinal methods of conducting research. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_15,120910,123830,What is doctrinal legal research? 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_16,123830,126570,Doctrinal method. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_17,126570,129090,What is qualitative research? 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_18,129090,137330,Common elements in every qualitative research and the distinguishing factors. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_19,137330,142930,Aims and objectives of qualitative and doctrinal methods of research. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_20,142930,147430,Basic tools of qualitative and doctrinal research. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_21,147430,155470,"Advantages and limitations of qualitative and doctrinal methods of research and finally, "
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_22,155470,159280,the summary of what we have learned so far. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_23,159280,165220,A brief short a brief short introduction to qualitative or doctrinal research debate 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_24,165220,172070,would be fit to locate both of them and analyse them with respect to their positives and shortcomings. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_25,172070,179900,Bryman had identified some eleven ways to integrate these two types of researches. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_26,179900,186330,"According to Bryman, the logic of triangulation means to check, for examples of qualitative "
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_27,186330,189610,against doctrinal research. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_28,189610,196000,The qualitative research outcome can support doctrinal method and vice-versa. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_29,196000,202930,Both are combined in to provide a more general pictures of the issue under study. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_30,202930,211760,Structural features are analysed with doctrinal methods and processual aspects with qualitative approaches. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_31,211760,216900,"The perspective of the researcher derives the quantitative approaches, while qualitative "
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_32,216900,221560,research emphasises the viewpoint of the subjective. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_33,221560,228770,"According to Bryman, the problem of generality can be solved for qualitative research by "
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_34,228770,235380,"adding doctrinal findings, whereas qualitative findings may facilitate the interpretation "
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_35,235380,240630,of relationship between variables in datasets. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_36,240630,246490,The relationship between micro and macro levels in a substantial area can be clarified by 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_37,246490,254220,combining the two researches which can be appropriate in different stages of the research process. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_38,254220,263190,"Finally, there are hybrid forms that use qualitative research and quasi experimental designs. "
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_39,263190,270979,"The doctrinal legal research can be defined as research into legal doctrines, through "
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_40,270979,276530,analysis of a statutory provisions and cases by the application of reasoning. 
Module_8_Qualitative_&_Doctrinal_Methods_in_Research_41,276530,284810,"The emphasis upon analysis of legal rules, principles or doctrines as compared to non-doctrinal "
