wav_filename,wav_filesize,transcript
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_53.wav,206476,"Second, test-retest reliability, the consistency of a measure evaluated over time. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_54.wav,194924,"Third, parallel-form reliability, the the reliability of two tests constructed the same "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_55.wav,62764,way from the same content. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_56.wav,237132,"And finally, internal consistency reliability, the consistency of results across items, often "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_57.wav,189516,"measured with Cronbach’s Alpha, a statistical tool used as an estimate of the reliability "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_58.wav,56044,of a psychometric test. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_59.wav,178924,"So we will talk about the types of reliability, Kirk and Miller have discussed three types "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_60.wav,167372,of reliability which will help a researcher to understand how reliable is his data. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_61.wav,203596,"So they are as follows- One, quixotic reliability, this refers to the circumstances in which "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_62.wav,194924,a single method of observation yields the same measurement over and over again. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_63.wav,254732,"In other words, when a researcher ask questions, respondents respondents tend to give politically correct answers. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_64.wav,202316,"For example, if the subjects are asked questions like if they believe in giving equal rights "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_65.wav,218892,"to their daughters in property, most of the respondents give response in affirmation but "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_66.wav,68236,the reality is something else. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_67.wav,222732,This is called that the findings have only quixotic reliability because people tend to 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_68.wav,101196,give those answers that they think are correct. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_69.wav,219564,"To get a correct view, one can ask the respondent if he would mind sharing his property with "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_70.wav,217964,his sister or do you mind if your wife give away her rights in her parent’s property? 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_71.wav,124492,Such questions can give a better and a clear picture. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_72.wav,134476,The second type of reliability is diachronic reliability. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_73.wav,142732,This refers to the stability of an observation over time. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_74.wav,213804,"Some examples include the test-retest paradigm of experimental psychology and survey research, "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_75.wav,221836,in which survey are conducted afresh after a gap of time to see if the results are the same. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_76.wav,126092,"And then, the third part is called a synchronic reliability. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_77.wav,216716,"This refers to the similarities of observation withi… within the same time period, which "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_78.wav,171532,can be evaluated by comparison of the same data by different methods. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_79.wav,247756,"Unlike quixotic reliability, synchronic reliability involves observation that are consistent in nature. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_80.wav,246764,"In the words of Kirk and Miller, synchronic reliability is often more useful if it is absent. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_81.wav,200044,"In other words, if different methods or approaches to a problem throw up different results, it "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_82.wav,233324,"may caution the researcher to consider the other aspects of research, which he she has ignored earlier. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_83.wav,184044,A researcher should try to work towards increasing the reliability of data. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_84.wav,165452,He can achieve this by documenting his field notes so that they can be compared with the 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_85.wav,95436,other field researcher and other colleagues. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_86.wav,223372,"Berman recommends extensive, explicit and perceptive field notes, self-analytical repo… "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_87.wav,176364,"reporting of research procedure, and research context, documentation of the ethnographer’s "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_88.wav,90316,theories of society and his biases. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_89.wav,234892,"To make your field notes accessible to others, certain guidelines must be followed that enables "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_90.wav,209676,others to separate the concept of the observed from those of the observer. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_91.wav,179244,"So, the other method of achieving reliability can be by training the researcher before he "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_92.wav,197772,or she enters the field and by checking his interview notes regularly and guiding him 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_93.wav,52876,or her accordingly. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_94.wav,169964,This should be done immediately after the first interview so that correct measures are 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_95.wav,45164,taken at the earliest. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_96.wav,230764,"Thus, we can say that reliability is achieved by presenting the data in such a way that "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_97.wav,249644,"the results speak not only about the interpretation given by the researcher, but also the voice of the respondents. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_98.wav,235852,"Apart from the results, the procedure adopted by the researcher should also be taken into account. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_99.wav,85804,"Now, we have discussed about reliability. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_100.wav,167116,We come to the next topic which is very close to reliability is called validity. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_101.wav,63724,What is this Validity? 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_102.wav,185644,Validity refers to the accuracy of the data generated by the research instrument like 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_103.wav,170924,an interview schedule or questionnaire or some other means of research. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_104.wav,188204,Validity answers questions like whether the method adopted by the researcher affects the 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_105.wav,179884,results of the factors that should have been considered but were ignored. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_106.wav,89324,These answers refer to the internal validity of a researcher. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_107.wav,297964,"Validity of a research is also about answering the question, how valid is one’s conception of the situation? "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_108.wav,93164,How generalised are one’s results? 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_109.wav,215404,"So, answer of these que… answer to these questions refer to the external validity of "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_110.wav,237804,"your research, which can be explained as the generalised from the, from a sample to a population. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_111.wav,166124,Establishing external validity for an instrument then follows directly from sampling. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_112.wav,102476,There is also a face validity and the content validity. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_113.wav,179532,Face validity means stati… statistical measure of validity. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_114.wav,250604,"For example, type one error will will require rejection of the hypothesis when it is true "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_115.wav,168972,and type two error will require acceptance of the hypothesis when it is false. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_116.wav,95724,This the concept of hypothesis is linked here. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_117.wav,135724,"So, if you have to understand the concept of hypothesis, you can go back to my module "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_118.wav,91276,on hypothesis and discuss that validity part there. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_119.wav,260524,"So, content validity on the other hand refers to the appropriateness of the content of an instrument. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_120.wav,181164,"In other words, do the measure that is questions or observation logs, etcetera, accurately "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_121.wav,86124,assess what you want to know? 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_122.wav,105964,This is particularly important with the achievement test. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_123.wav,230764,Consider that a test developer wants to maximise the validity of a unit test for seventh grade mathematics. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_124.wav,161964,This would involve taking representa… representative questions from each of the sections of the 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_125.wav,138892,unit and evaluating them against the desired outcomes. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_126.wav,138636,"So, that will be called as content validity. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_127.wav,182444,"It is easy to achieve validity in research as one has to keep in mind the adequate sampling, "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_128.wav,213804,precision of observation and the subtle changes in environment and people are observed carefully. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_129.wav,204844,One can say that the concept of validity refers to the next extent to which the data provide 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_130.wav,99244,a true measurement of social reality. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_131.wav,257612,Let us take an example from IGNOU material on research methodology of shortage of power supply. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_132.wav,148236,You may be quite sure of the statistics about power shortage week by week. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_133.wav,177004,You also have to be sure how valid or accurate a picture of power shortage in the whole town 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_134.wav,151404,"or the state is, your static… statistics presence. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_135.wav,189804,"If you were to compare your figure with those collected by government agencies, its figure "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_136.wav,168684,"may be re… reliable, but the government’s definition of power shortage may not be the "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_137.wav,106572,same as is used in your research. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_138.wav,224364,"So and if this is the case, then the two set of statistics are not valid for the purpose "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_139.wav,241676,"of comparison because the comparison is not between two things alike and therefore, research is not valid. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_140.wav,93164,How do we achieve validity in our research? 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_141.wav,133804,So this is the question that we have to answer. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_142.wav,163884,"To bring about validity in the research process, Wolcott has suggested some guidelines. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_143.wav,90604,"They are, one should refrain from talking. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_144.wav,141804,"When you are in the field, listen as much as possible. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_145.wav,217292,"Secondly, produce field notes that are exact as as much as possible. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_146.wav,171916,Begin to write early so that you will not forget the little details that separate good 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_147.wav,90924,research from the ordinary research. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_148.wav,198124,Write in such a way that your research can see for themselves the points you are trying to bring out. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_149.wav,214124,"In other words, provide enough data to enable readers to draw out their own inferences and "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_150.wav,74604,follow the ones you are making. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_151.wav,138892,Your report should be as complete as possible. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_152.wav,164556,See feedback on your findings and presentation from your colleagues. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_153.wav,173132,Your presentation should be characterised by a balance between the various aspects you 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_154.wav,212876,have studied rather than leaning too heavily on one or the other aspect. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_155.wav,113644,Your presentation should display accuracy in writing. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_156.wav,182124,"To check the validity of your research, one of the method is field research. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_157.wav,180204,"The very nature of field work is its flexibility and openness, which enables one to study the "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_158.wav,86444,data in a variety of ways. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_159.wav,185292,"As in field situation, routine contact with people on day-to-day basis over an extended "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_160.wav,186316,period of time will help the researcher to test the emerging hypothesis. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_161.wav,215372,This method is very sensitive to discrepancies between meaning presumed by investigations 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_162.wav,107596,and those understood by the target population. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_163.wav,159084,So one has to clearly define his or her concept. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_164.wav,157452,Defining the concept is also very important for the researcher as the field is better 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_165.wav,72044,known to respondent than to the researcher. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_166.wav,150796,"In a controlled experiment, the situation is other way around. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_167.wav,111724,But here the researcher has to work according to the respondent’s will. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_168.wav,277772,If the researcher is sincere and devoted to his field work and is receptive of the inputs 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_169.wav,199756,"given by the respondents, then his or her research has greater chances of being valid. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_170.wav,234572,The validity can also be checked by taking respondents into the confidence and try try 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_171.wav,119404,to involve them into research by the method of discussion. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_172.wav,266956,The researcher can share his or her data with the respondents and while discussing can ensure 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_173.wav,227244,that there is no discrepancy in what the respondent said and what he or she has written. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_174.wav,216652,"This method of checking also has its own drawback, as sometimes respondents may deny of what "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_175.wav,175436,the researcher has written as they might feel that it shows them in bad light. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_176.wav,220204,Here the role of the researcher becomes important as he or she has to differ… differentiate 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_177.wav,186252,between the real responses and the released responses. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_178.wav,173804,"Lincoln and Guba in their book, Naturalistic Inquiry suggests that for checking the validity "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_179.wav,207436,"of any data, a researcher should adopt few techniques while collecting the data and interacting "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_180.wav,40332,with the respondent. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_181.wav,191756,"The researcher should spend more time in the field, which will help the researcher to understand "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_182.wav,84844,his field and respondents better. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_183.wav,169932,Spending more time in the field will also help in the accuracy of the data as the researcher 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_184.wav,189516,will be having a clear picture of the field and it is less likely that the respondent 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_185.wav,100492,is able to deceive the researcher. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_186.wav,196204,"Now, when we have discussed the concept of reliability and validity, let us also understand "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_187.wav,123884,try to understand the relationship these two concepts have. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_188.wav,209964,So reliability and validity are two different concepts that may or may not be related to one another. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_189.wav,122604,"Mostly, if data are valid, they must be reliable. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_190.wav,182476,"If people rec… receive very different scores on a test every time they take it, the test "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_191.wav,86732,is not likely to be to predict anything. 
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_192.wav,152684,"However, a test can be considered reliable but not valid. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_193.wav,235884,"For example, AILET or CLAT score can be used as a prediction of success in college. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_194.wav,249644,"It may be considered a reliable test, but only a moderately valid indicator of success. "
/home/bit/Documents/data_processing/program/Audio-Split/sliced_audio/Module_24_Reliability_195.wav,211916,"Taking the same example of CLAT or AILET scores can, we can say that validity is more important "
